0,0,4.007,2021-11-29T20:53:05.128373852Z
1,1,7.081,2021-11-29T20:53:05.128373852Z
2,2,5.778,2021-11-29T20:53:05.128373852Z
3,3,3.221,2021-11-29T20:53:05.128373852Z
4,4,8.039,2021-11-29T20:53:05.128373852Z
5,5,1.802,2021-11-29T20:53:05.128373852Z
6,6,7.139,2021-11-29T20:53:05.128373852Z
7,7,9.820,2021-11-29T20:53:05.128373852Z
8,8,8.449,2021-11-29T20:53:05.128373852Z
9,9,9.139,2021-11-29T20:53:05.128373852Z
10,10,2.602,2021-11-29T20:53:05.128373852Z
11,11,2.001,2021-11-29T20:53:05.128373852Z
12,12,1.380,2021-11-29T20:53:05.128373852Z
13,13,2.536,2021-11-29T20:53:05.128373852Z
14,14,9.027,2021-11-29T20:53:05.128373852Z
15,15,7.351,2021-11-29T20:53:05.128373852Z
16,16,9.771,2021-11-29T20:53:05.128373852Z
17,17,0.291,2021-11-29T20:53:05.128373852Z
18,18,3.834,2021-11-29T20:53:05.128373852Z
19,19,0.012,2021-11-29T20:53:05.128373852Z
20,20,2.331,2021-11-29T20:53:05.128373852Z
21,21,4.145,2021-11-29T20:53:05.128373852Z
22,22,6.102,2021-11-29T20:53:05.128373852Z
23,23,0.517,2021-11-29T20:53:05.128373852Z
24,24,4.765,2021-11-29T20:53:05.128373852Z
25,25,4.148,2021-11-29T20:53:05.128373852Z
26,26,0.011,2021-11-29T20:53:05.128373852Z
27,27,8.554,2021-11-29T20:53:05.128373852Z
28,28,1.583,2021-11-29T20:53:05.128373852Z
29,29,1.263,2021-11-29T20:53:05.128373852Z
30,30,5.210,2021-11-29T20:53:05.128373852Z
31,31,6.393,2021-11-29T20:53:05.128373852Z
32,32,9.297,2021-11-29T20:53:05.128373852Z
33,33,1.646,2021-11-29T20:53:05.128373852Z
34,34,1.177,2021-11-29T20:53:05.128373852Z
35,35,3.131,2021-11-29T20:53:05.128373852Z
36,36,4.330,2021-11-29T20:53:05.128373852Z
37,37,9.051,2021-11-29T20:53:05.128373852Z
38,38,5.141,2021-11-29T20:53:05.128373852Z
39,39,2.492,2021-11-29T20:53:05.128373852Z
40,40,1.471,2021-11-29T20:53:05.128373852Z
41,41,4.301,2021-11-29T20:53:05.128373852Z
